step,node_count,diameter,avg_diameter,degree,cost,traffic
1,8,2,1.2857142857142858,7,20,0.3673469387755102
2,16,3,2.066666666666667,8,41,0.5166666666666667
3,24,4,2.536231884057971,9,62,0.5636070853462158
4,32,4,2.806451612903226,10,83,0.5612903225806452
5,40,4,2.9794871794871796,11,104,0.5417249417249418
6,48,4,3.099290780141844,12,125,0.516548463356974
7,56,4,3.187012987012987,13,146,0.4903096903096903
8,64,4,3.253968253968254,14,167,0.46485260770975056
9,72,4,3.3067292644757433,15,188,0.44089723526343244
10,80,4,3.349367088607595,16,209,0.4186708860759494
11,88,4,3.3845350052246603,17,230,0.39818058884996005
12,96,4,3.414035087719298,18,251,0.3793372319688109
13,104,4,3.4391336818521285,19,272,0.36201407177390826
